system:index,NO2_column_number_density,data_source,date_end,date_start,latitude,longitude,pollutant,region_name,resolution_km,season,season_name,unit,.geo
0_10,1.2398819674965545E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.25363722735222,40.895803309541215]}"
0_11,1.2138350263533682E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.280586685875804,40.895803309541215]}"
0_12,1.2376452780711513E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.30753614439939,40.895803309541215]}"
0_13,1.2356460826118854E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.334485602922975,40.895803309541215]}"
0_14,1.1798262636350685E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.172788851781462,40.922752768064804]}"
0_15,1.1484945243380368E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.199738310305047,40.922752768064804]}"
0_16,1.0900383388599514E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.226687768828633,40.922752768064804]}"
0_17,1.0860509848165456E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.25363722735222,40.922752768064804]}"
0_18,1.1680062999273123E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.280586685875804,40.922752768064804]}"
0_19,1.1998429027426992E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.30753614439939,40.922752768064804]}"
0_20,1.2047416504495437E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.334485602922975,40.922752768064804]}"
0_21,1.1968680780427889E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.172788851781462,40.94970222658839]}"
0_22,1.1703687052763637E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.199738310305047,40.94970222658839]}"
0_23,1.0840223260970253E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.226687768828633,40.94970222658839]}"
0_24,1.0818502828978609E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.25363722735222,40.94970222658839]}"
0_25,1.162660868102323E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.280586685875804,40.94970222658839]}"
0_26,1.1520945705543483E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.30753614439939,40.94970222658839]}"
0_27,1.13498125133889E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.334485602922975,40.94970222658839]}"
1_0,1.1589794493813728E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.95719318359278,41.165297894777076]}"
1_1,1.1579674680287159E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.984142642116364,41.165297894777076]}"
1_2,1.1783464619112826E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.01109210063995,41.165297894777076]}"
1_3,1.2017348107509109E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.038041559163535,41.165297894777076]}"
1_4,1.1506870931271856E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.06499101768712,41.165297894777076]}"
1_5,1.1581800652614348E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.091940476210706,41.165297894777076]}"
1_6,1.1283096755282324E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.95719318359278,41.19224735330066]}"
1_7,1.0781560584478452E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.984142642116364,41.19224735330066]}"
1_8,1.1353789653269805E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.01109210063995,41.19224735330066]}"
1_9,1.1419995537767719E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.038041559163535,41.19224735330066]}"
1_10,1.162350178612314E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.06499101768712,41.19224735330066]}"
1_11,1.177766153429992E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.091940476210706,41.19224735330066]}"
1_12,1.1327479296595956E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.95719318359278,41.21919681182425]}"
1_13,1.1309122341557774E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.984142642116364,41.21919681182425]}"
1_14,1.0981634445237838E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.01109210063995,41.21919681182425]}"
1_15,1.1191679732290086E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.038041559163535,41.21919681182425]}"
1_16,1.1146820797731477E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.06499101768712,41.21919681182425]}"
1_17,1.1898562966865248E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.091940476210706,41.21919681182425]}"
1_18,1.1774366017610852E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.95719318359278,41.24614627034783]}"
1_19,1.2124156349656819E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.984142642116364,41.24614627034783]}"
1_20,1.2003626160426352E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.01109210063995,41.24614627034783]}"
1_21,1.1412910535371214E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.038041559163535,41.24614627034783]}"
1_22,1.1513267280640156E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.06499101768712,41.24614627034783]}"
1_23,1.1349697355569399E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kağıthane,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.091940476210706,41.24614627034783]}"
2_0,1.2106480024992266E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.01109210063995,41.003601143635564]}"
2_1,1.2200549038690264E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.038041559163535,41.003601143635564]}"
2_2,1.1943423615023735E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.06499101768712,41.003601143635564]}"
2_3,1.1946293973925861E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.091940476210706,41.003601143635564]}"
2_4,1.1729615954315595E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.11888993473429,41.003601143635564]}"
2_5,1.1692131761263406E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.145839393257877,41.003601143635564]}"
2_6,1.253660739166703E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.01109210063995,41.030550602159146]}"
2_7,1.202019796346961E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.038041559163535,41.030550602159146]}"
2_8,1.2018813217501835E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.06499101768712,41.030550602159146]}"
2_9,1.2007263176431718E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.091940476210706,41.030550602159146]}"
2_10,1.1719375533504343E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.11888993473429,41.030550602159146]}"
2_11,1.1457584955118415E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.145839393257877,41.030550602159146]}"
2_12,1.273357959444488E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.01109210063995,41.057500060682734]}"
2_13,1.2075762502161474E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.038041559163535,41.057500060682734]}"
2_14,1.205755567640808E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.06499101768712,41.057500060682734]}"
2_15,1.1655489625844913E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.091940476210706,41.057500060682734]}"
2_16,1.1388547472119608E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.11888993473429,41.057500060682734]}"
2_17,1.1544313282380604E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.145839393257877,41.057500060682734]}"
2_18,1.2236785732966778E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.01109210063995,41.084449519206316]}"
2_19,1.2593756417344669E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.038041559163535,41.084449519206316]}"
2_20,1.1743494409472121E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.06499101768712,41.084449519206316]}"
2_21,1.1435690226590498E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.091940476210706,41.084449519206316]}"
2_22,1.1336306280205635E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.11888993473429,41.084449519206316]}"
2_23,1.0606050879382953E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Üsküdar,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.145839393257877,41.084449519206316]}"
3_0,1.1387740765473421E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.172788851781462,40.86885385101763]}"
3_1,1.1648843245101968E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.199738310305047,40.86885385101763]}"
3_2,1.1970474184799486E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.226687768828633,40.86885385101763]}"
3_3,1.1889736186053921E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.25363722735222,40.86885385101763]}"
3_4,1.2712276535251546E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.280586685875804,40.86885385101763]}"
3_5,1.2446997972097846E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.30753614439939,40.86885385101763]}"
3_6,1.2056998512604399E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.334485602922975,40.86885385101763]}"
3_7,1.1596536009931574E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.172788851781462,40.895803309541215]}"
3_8,1.1617459084101567E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.199738310305047,40.895803309541215]}"
3_9,1.204879663332655E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.226687768828633,40.895803309541215]}"
3_10,1.2124317984240078E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.25363722735222,40.895803309541215]}"
3_11,1.239966144340734E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.280586685875804,40.895803309541215]}"
3_12,1.2443735742626225E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.30753614439939,40.895803309541215]}"
3_13,1.2391555450933558E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.334485602922975,40.895803309541215]}"
3_14,1.1613889610125436E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.172788851781462,40.922752768064804]}"
3_15,1.1317551483747659E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.199738310305047,40.922752768064804]}"
3_16,1.1318968437852902E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.226687768828633,40.922752768064804]}"
3_17,1.1329069190127807E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.25363722735222,40.922752768064804]}"
3_18,1.164258451313597E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.280586685875804,40.922752768064804]}"
3_19,1.1648847333466568E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.30753614439939,40.922752768064804]}"
3_20,1.1638637791428059E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.334485602922975,40.922752768064804]}"
3_21,1.1121121195316193E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.172788851781462,40.94970222658839]}"
3_22,1.1115987491270001E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.199738310305047,40.94970222658839]}"
3_23,1.096373933179001E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.226687768828633,40.94970222658839]}"
3_24,1.1164553552132912E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.25363722735222,40.94970222658839]}"
3_25,1.1605677732486547E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.280586685875804,40.94970222658839]}"
3_26,1.1581023632795447E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.30753614439939,40.94970222658839]}"
3_27,1.1394467296732175E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kartal,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.334485602922975,40.94970222658839]}"
4_0,9.899001437973059E-5,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.95719318359278,41.165297894777076]}"
4_1,9.948589567765372E-5,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.984142642116364,41.165297894777076]}"
4_2,1.0127822363760876E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.01109210063995,41.165297894777076]}"
4_3,1.0103546217834851E-4,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.038041559163535,41.165297894777076]}"
4_4,9.851394085733525E-5,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.06499101768712,41.165297894777076]}"
4_5,9.838145954418796E-5,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.091940476210706,41.165297894777076]}"
4_6,9.847133748322524E-5,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.95719318359278,41.19224735330066]}"
4_7,9.677615506365123E-5,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.984142642116364,41.19224735330066]}"
4_8,9.765526974995626E-5,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.01109210063995,41.19224735330066]}"
4_9,9.687660060708075E-5,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.038041559163535,41.19224735330066]}"
4_10,9.57090287755998E-5,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.06499101768712,41.19224735330066]}"
4_11,9.595793850901436E-5,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.091940476210706,41.19224735330066]}"
4_12,9.393086033401662E-5,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.95719318359278,41.21919681182425]}"
4_13,9.350060827015687E-5,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[28.984142642116364,41.21919681182425]}"
4_14,9.755127833532461E-5,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.01109210063995,41.21919681182425]}"
4_15,9.7245862043919E-5,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.038041559163535,41.21919681182425]}"
4_16,9.52953349293014E-5,Sentinel-5P,2024-06-15,2024-02-15,,,NO2,Kağıthane,3,MAM,Spring,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.06499101768712,41.21919681182425]}"
